"","Reading","Computer","Sport","Walking","Travelling","Playing music","Volunteering","Mechanic","Gardening","Knitting","Cooking","Fishing","Sex","Age"
"344","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","Knitting","No cooking","No fishing","F","(35,45]"
"345","No reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(35,45]"
"346","Reading","Computer","No sport","No walking","Travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(25,35]"
"347","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","Knitting","No cooking","No fishing","F","(45,55]"
"348","Reading","No computer","No sport","No walking","Travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(25,35]"
"349","Reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","Knitting","No cooking","No fishing","F","(35,45]"
"350","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(45,55]"
"351","No reading","Computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(35,45]"
"352","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","Knitting","No cooking","No fishing","F","(65,75]"
"353","Reading","Computer","No sport","Walking","Travelling","Playing music","No volunteering","Mechanic","No gardening","No knitting","Cooking","No fishing","F","(45,55]"
"354","No reading","No computer","Sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(35,45]"
"355","No reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(55,65]"
"356","Reading","No computer","Sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","[15,25]"
"357","Reading","Computer","No sport","Walking","Travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","Cooking","No fishing","M","(25,35]"
"358","Reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","[15,25]"
"359","No reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(35,45]"
"360","Reading","Computer","Sport","No walking","Travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","Cooking","No fishing","F","(45,55]"
"361","Reading","Computer","No sport","No walking","No travelling","No playing music","Volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(65,75]"
"362","No reading","Computer","Sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(35,45]"
"363","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","Knitting","No cooking","No fishing","F","(65,75]"
"364","Reading","No computer","Sport","Walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","F","(35,45]"
"365","Reading","Computer","Sport","Walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","Knitting","Cooking","No fishing","F","(45,55]"
"366","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(25,35]"
"367","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","No cooking","Fishing","M","(65,75]"
"368","No reading","No computer","Sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(45,55]"
"369","Reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(45,55]"
"370","Reading","Computer","Sport","No walking","No travelling","Playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(25,35]"
"371","Reading","No computer","Sport","Walking","Travelling","No playing music","Volunteering","No mechanic","No gardening","Knitting","Cooking","No fishing","F","(35,45]"
"372","Reading","Computer","Sport","Walking","No travelling","No playing music","Volunteering","Mechanic","Gardening","Knitting","Cooking","No fishing","F","(45,55]"
"373","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(45,55]"
"374","Reading","No computer","No sport","No walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(25,35]"
"375","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(25,35]"
"376","No reading","No computer","No sport","No walking","Travelling","Playing music","Volunteering","Mechanic","Gardening","Knitting","Cooking","No fishing","F","(55,65]"
"377","Reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","Cooking","No fishing","F","(55,65]"
"378","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(55,65]"
"379","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(65,75]"
"380","No reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(35,45]"
"381","Reading","No computer","Sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(35,45]"
"382","Reading","No computer","Sport","No walking","No travelling","Playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(25,35]"
"383","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(35,45]"
"384","Reading","No computer","Sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(25,35]"
"385","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","Knitting","Cooking","No fishing","F","(75,85]"
"386","Reading","No computer","Sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(55,65]"
"387","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","Fishing","M","(65,75]"
"388","No reading","No computer","No sport","No walking","No travelling","No playing music","Volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(35,45]"
"389","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(45,55]"
"390","Reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(65,75]"
"391","No reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(45,55]"
"392","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","No cooking","No fishing","F","(25,35]"
"393","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(35,45]"
"394","Reading","No computer","No sport","Walking","No travelling","Playing music","No volunteering","Mechanic","Gardening","Knitting","Cooking","Fishing","M","(55,65]"
"395","Reading","Computer","No sport","Walking","No travelling","No playing music","Volunteering","Mechanic","Gardening","No knitting","No cooking","Fishing","M","(55,65]"
"396","Reading","No computer","No sport","No walking","Travelling","No playing music","Volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(75,85]"
"397","Reading","No computer","Sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(25,35]"
"398","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(25,35]"
"399","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","Cooking","No fishing","F","(55,65]"
"400","Reading","Computer","No sport","Walking","Travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(45,55]"
"401","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","M","(65,75]"
"402","No reading","No computer","No sport","No walking","Travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","Cooking","No fishing","M","(45,55]"
"403","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","M","(55,65]"
"404","Reading","Computer","No sport","No walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(25,35]"
"405","No reading","Computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","[15,25]"
"406","No reading","No computer","Sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","[15,25]"
"407","No reading","No computer","No sport","No walking","No travelling","No playing music","Volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","M","(55,65]"
"408","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(35,45]"
"409","No reading","No computer","Sport","Walking","Travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","F","(55,65]"
"410","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","No cooking","No fishing","F","(65,75]"
"411","No reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(45,55]"
"412","No reading","No computer","No sport","Walking","Travelling","No playing music","Volunteering","No mechanic","Gardening","Knitting","Cooking","No fishing","F","(75,85]"
"413","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(75,85]"
"414","Reading","Computer","Sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","Cooking","No fishing","F","[15,25]"
"415","No reading","Computer","No sport","Walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(25,35]"
"416","Reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","Knitting","Cooking","No fishing","F","[15,25]"
"417","Reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","M","(45,55]"
"418","No reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","Cooking","Fishing","M","(25,35]"
"419","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","Cooking","No fishing","F","(55,65]"
"420","Reading","Computer","Sport","Walking","Travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","F","(25,35]"
"421","No reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","Cooking","Fishing","M","(55,65]"
"422","No reading","No computer","No sport","Walking","Travelling","No playing music","Volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(35,45]"
"423","No reading","Computer","No sport","Walking","No travelling","Playing music","No volunteering","No mechanic","Gardening","Knitting","Cooking","No fishing","F","(25,35]"
"424","Reading","Computer","No sport","Walking","Travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","Cooking","No fishing","M","(35,45]"
"425","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","M","(65,75]"
"426","No reading","No computer","No sport","No walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","[15,25]"
"427","No reading","Computer","Sport","Walking","Travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","F","(35,45]"
"428","Reading","No computer","Sport","Walking","Travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","Fishing","M","(65,75]"
"429","Reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(35,45]"
"430","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","Knitting","Cooking","No fishing","F","(75,85]"
"431","No reading","Computer","No sport","No walking","No travelling","No playing music","Volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","M","(35,45]"
"432","No reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","Cooking","No fishing","F","(55,65]"
"433","No reading","Computer","Sport","Walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(55,65]"
"434","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","Knitting","Cooking","No fishing","F","(45,55]"
"435","No reading","No computer","Sport","Walking","No travelling","No playing music","Volunteering","Mechanic","Gardening","No knitting","Cooking","Fishing","M","(55,65]"
"436","No reading","No computer","No sport","No walking","Travelling","No playing music","No volunteering","Mechanic","Gardening","Knitting","Cooking","No fishing","F","(45,55]"
"437","Reading","Computer","No sport","No walking","Travelling","Playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","M","(45,55]"
"438","Reading","Computer","Sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","Cooking","No fishing","F","(25,35]"
"439","Reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","[15,25]"
"440","No reading","No computer","Sport","Walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(65,75]"
"441","No reading","No computer","Sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(45,55]"
"442","Reading","No computer","Sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(35,45]"
"443","Reading","No computer","No sport","No walking","Travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","No cooking","No fishing","F","(65,75]"
"444","Reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","Cooking","No fishing","M","(45,55]"
"445","Reading","Computer","Sport","Walking","Travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","Cooking","No fishing","F","(25,35]"
"446","Reading","Computer","Sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(25,35]"
"447","Reading","Computer","No sport","No walking","No travelling","Playing music","Volunteering","No mechanic","No gardening","Knitting","No cooking","No fishing","F","(35,45]"
"448","Reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","Cooking","No fishing","F","(25,35]"
"449","Reading","Computer","No sport","No walking","No travelling","Playing music","Volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(45,55]"
"450","Reading","Computer","No sport","Walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","Knitting","Cooking","No fishing","F","(65,75]"
"451","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","Knitting","Cooking","No fishing","F","(55,65]"
"452","No reading","No computer","Sport","No walking","No travelling","No playing music","Volunteering","No mechanic","No gardening","No knitting","No cooking","Fishing","M","(35,45]"
"453","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(55,65]"
"454","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","Knitting","Cooking","No fishing","F","(45,55]"
"455","No reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(25,35]"
"456","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(85,100]"
"457","Reading","Computer","Sport","Walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(25,35]"
"458","No reading","Computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","Fishing","F","(25,35]"
"459","No reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","F","(35,45]"
"460","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(35,45]"
"461","No reading","Computer","No sport","No walking","Travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","Fishing","M","(35,45]"
"462","No reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","Mechanic","No gardening","Knitting","Cooking","No fishing","F","(45,55]"
"463","Reading","No computer","Sport","No walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","Cooking","No fishing","F","(25,35]"
"464","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","Fishing","M","(45,55]"
"465","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(55,65]"
"466","No reading","Computer","Sport","Walking","Travelling","Playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(55,65]"
"467","Reading","Computer","Sport","Walking","Travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","M","(55,65]"
"468","No reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(45,55]"
"469","Reading","Computer","Sport","No walking","No travelling","Playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","M","(25,35]"
"470","Reading","No computer","Sport","No walking","Travelling","No playing music","Volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(65,75]"
"471","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","M","(65,75]"
"472","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","Cooking","No fishing","F","(35,45]"
"473","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","Knitting","Cooking","No fishing","F","(65,75]"
"474","No reading","Computer","Sport","No walking","Travelling","Playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(25,35]"
"475","Reading","No computer","No sport","Walking","No travelling","No playing music","Volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","M","(75,85]"
"476","Reading","No computer","No sport","Walking","No travelling","No playing music","Volunteering","No mechanic","Gardening","No knitting","Cooking","No fishing","F","(45,55]"
"477","Reading","No computer","No sport","Walking","No travelling","No playing music","Volunteering","Mechanic","Gardening","No knitting","No cooking","Fishing","M","(45,55]"
"478","No reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","[15,25]"
"479","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(35,45]"
"480","Reading","Computer","Sport","No walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","Knitting","Cooking","No fishing","F","(35,45]"
"481","Reading","Computer","Sport","No walking","Travelling","No playing music","Volunteering","Mechanic","Gardening","Knitting","Cooking","No fishing","F","(45,55]"
"482","Reading","No computer","Sport","No walking","Travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","F","(25,35]"
"483","Reading","Computer","Sport","Walking","Travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","Cooking","Fishing","F","(55,65]"
"484","No reading","No computer","No sport","No walking","No travelling","Playing music","Volunteering","No mechanic","Gardening","Knitting","Cooking","No fishing","F","(35,45]"
"485","Reading","Computer","No sport","Walking","Travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","Cooking","No fishing","M","(35,45]"
"486","Reading","Computer","Sport","Walking","Travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","M","(45,55]"
"487","No reading","Computer","Sport","No walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","Cooking","No fishing","M","(25,35]"
"488","Reading","Computer","No sport","No walking","Travelling","No playing music","Volunteering","Mechanic","No gardening","Knitting","Cooking","No fishing","F","(45,55]"
"489","Reading","No computer","No sport","No walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","Knitting","Cooking","No fishing","F","(45,55]"
"490","No reading","Computer","No sport","No walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","Knitting","Cooking","No fishing","F","(25,35]"
"491","No reading","No computer","No sport","No walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","Knitting","Cooking","No fishing","F","(45,55]"
"492","No reading","No computer","Sport","Walking","Travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","M","(35,45]"
"493","Reading","No computer","Sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(35,45]"
"494","Reading","Computer","Sport","No walking","Travelling","No playing music","No volunteering","Mechanic","Gardening","Knitting","Cooking","No fishing","F","(45,55]"
"495","Reading","Computer","No sport","No walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(55,65]"
"496","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","M","(65,75]"
"497","Reading","Computer","Sport","Walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","M","(25,35]"
"498","Reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","Knitting","Cooking","No fishing","F","(45,55]"
"499","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(75,85]"
"500","Reading","Computer","Sport","Walking","Travelling","Playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","M","(35,45]"
"501","No reading","No computer","Sport","Walking","No travelling","No playing music","Volunteering","Mechanic","No gardening","No knitting","No cooking","Fishing","M","(35,45]"
"502","Reading","No computer","Sport","No walking","Travelling","Playing music","No volunteering","Mechanic","Gardening","Knitting","Cooking","No fishing","F","(25,35]"
"503","Reading","Computer","No sport","No walking","Travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","No cooking","No fishing","F","(45,55]"
"504","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","M","(25,35]"
"505","Reading","Computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","Knitting","No cooking","Fishing","F","(45,55]"
"506","No reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","Cooking","No fishing","M","(45,55]"
"507","Reading","Computer","Sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(25,35]"
"508","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","M","(25,35]"
"509","Reading","Computer","Sport","Walking","Travelling","Playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","M","[15,25]"
"510","Reading","No computer","Sport","Walking","Travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","M","(65,75]"
"511","No reading","Computer","No sport","No walking","Travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","M","(45,55]"
"512","No reading","No computer","No sport","No walking","No travelling","No playing music","Volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(35,45]"
"513","Reading","No computer","Sport","No walking","Travelling","No playing music","Volunteering","Mechanic","No gardening","Knitting","Cooking","No fishing","F","(45,55]"
"514","No reading","No computer","Sport","Walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(45,55]"
"515","Reading","Computer","Sport","Walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(25,35]"
"516","Reading","No computer","No sport","Walking","Travelling","Playing music","No volunteering","Mechanic","Gardening","Knitting","Cooking","No fishing","F","(55,65]"
"517","Reading","Computer","Sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","F","(45,55]"
"518","No reading","No computer","No sport","No walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(45,55]"
"519","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","M","(85,100]"
"520","Reading","No computer","Sport","Walking","Travelling","Playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(55,65]"
"521","Reading","No computer","Sport","Walking","Travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","Fishing","M","(45,55]"
"522","No reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(65,75]"
"523","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(65,75]"
"524","Reading","No computer","Sport","Walking","Travelling","No playing music","Volunteering","No mechanic","Gardening","No knitting","Cooking","No fishing","F","(75,85]"
"525","Reading","No computer","Sport","No walking","No travelling","Playing music","Volunteering","Mechanic","No gardening","Knitting","Cooking","No fishing","F","(45,55]"
"526","Reading","Computer","Sport","Walking","Travelling","Playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","M","(35,45]"
"527","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","M","(55,65]"
"528","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(65,75]"
"529","Reading","Computer","Sport","No walking","Travelling","Playing music","Volunteering","Mechanic","Gardening","Knitting","Cooking","No fishing","F","(45,55]"
"530","No reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","M","(25,35]"
"531","No reading","No computer","Sport","Walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","Fishing","M","(45,55]"
"532","Reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","Cooking","Fishing","F","(35,45]"
"533","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(35,45]"
"534","Reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","M","(45,55]"
"535","No reading","Computer","No sport","No walking","No travelling","No playing music","Volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(45,55]"
"536","No reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","Fishing","F","(45,55]"
"537","No reading","No computer","No sport","No walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(55,65]"
"538","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","Cooking","No fishing","F","(85,100]"
"539","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","Knitting","No cooking","No fishing","F","(75,85]"
"540","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(25,35]"
"541","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","F","(35,45]"
"542","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(75,85]"
